Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-18 15:20:38,2417,3964,4,0,100,1,26.25,0
2025-06-18 15:20:39,2417,3964,1,1,100,0,25.5,0
2025-06-18 15:20:40,2459,3964,1,0,100,0,25.25,0
2025-06-18 15:20:41,2158,3964,2,0,100,0,25.5,86
2025-06-18 15:20:42,2270,3964,0,0,100,1,25.25,0
2025-06-18 15:20:43,2617,3964,2,41,61,1,26.25,85
2025-06-18 15:20:44,2267,3964,26,29,16,1,18.0,0
2025-06-18 15:20:45,2355,3964,34,4,21,22,20.25,0
2025-06-18 15:20:46,2393,3964,18,8,19,16,15.25,0
2025-06-18 15:20:47,2393,3964,8,3,2,3,4.0,65
2025-06-18 15:20:48,2393,3964,3,2,1,2,2.0,0
