Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-18 14:59:59,2011,3964,5,100,0,1,26.5,0
2025-06-18 15:00:00,2027,3964,4,100,0,0,26.0,0
2025-06-18 15:00:01,2040,3964,2,100,1,0,25.75,0
2025-06-18 15:00:02,2055,3964,0,100,0,0,25.0,0
2025-06-18 15:00:03,2070,3964,3,100,0,0,25.75,0
2025-06-18 15:00:04,2083,3964,3,41,61,0,26.25,0
2025-06-18 15:00:12,2099,3964,5,0,100,1,26.5,0
2025-06-18 15:00:13,2115,3964,4,0,100,1,26.25,0
2025-06-18 15:00:14,2280,3964,51,1,51,1,26.0,0
2025-06-18 15:00:15,2313,3964,100,0,0,1,25.25,0
2025-06-18 15:00:16,2365,3964,100,0,0,1,25.25,0
