cpu_percent,ram_used_mb
0.0,2439.00390625
29.4,2533.19140625
29.8,2669.890625
29.1,2803.78515625
33.4,2877.8828125
28.2,2878.24609375
27.7,2878.24609375
28.2,2878.27734375
28.3,2878.3984375
27.4,2878.3984375
27.7,2878.27734375
28.7,2878.125
27.6,2878.125
28.3,2878.125
27.7,2878.12109375
28.2,2878.12109375
28.6,2878.12109375
28.4,2873.76171875
25.5,2873.76171875
24.9,2873.76171875
27.4,2880.42578125
28.9,2880.39453125
28.9,2880.39453125
29.3,2880.515625
27.8,2880.515625
27.5,2880.515625
27.8,2880.5078125
28.2,2880.5078125
28.4,2880.5078125
28.6,2880.5078125
27.6,2880.62890625
28.4,2880.75
29.1,2880.75
26.1,2876.02734375
25.4,2876.02734375
26.4,2880.5078125
27.7,2880.5078125
28.0,2880.62890625
29.1,2880.5078125
29.3,2880.5078125
29.0,2880.5078125
28.3,2880.5
28.2,2880.5
28.7,2880.62109375
28.1,2880.62109375
27.8,2880.62109375
28.9,2880.7421875
27.7,2880.734375
27.2,2876.25390625
25.9,2876.25390625
26.2,2880.25
28.0,2880.25
28.2,2880.37109375
28.4,2880.37109375
28.5,2880.37109375
28.6,2880.37109375
28.3,2880.37109375
27.4,2880.37109375
27.8,2880.36328125
28.9,2880.36328125
28.5,2880.36328125
28.6,2880.36328125
29.0,2880.36328125
28.1,2876.609375
25.9,2876.8671875
25.5,2876.69921875
29.1,2880.84765625
28.3,2880.84765625
28.4,2880.84765625
28.6,2880.84765625
28.9,2880.87890625
29.0,2880.87890625
28.5,2880.87890625
28.9,2880.87109375
28.6,2880.87109375
28.2,2880.9921875
28.3,2880.9921875
28.7,2880.9921875
29.0,2880.83984375
25.9,2876.84375
25.1,2876.84375
26.4,2880.9609375
28.5,2880.8671875
28.9,2880.8671875
29.5,2880.9609375
28.5,2880.9609375
28.1,2880.953125
28.0,2880.953125
28.5,2880.953125
29.1,2880.953125
29.5,2880.953125
27.8,2880.953125
29.1,2880.984375
28.8,2880.953125
26.4,2877.71484375
25.6,2877.71484375
26.2,2881.31640625
28.1,2881.4375
28.7,2881.4375
28.1,2881.40625
28.8,2881.44140625
29.2,2881.5625
28.4,2881.5625
27.9,2881.5625
28.5,2881.5625
29.7,2881.5625
28.0,2881.4375
27.5,2881.43359375
28.5,2881.43359375
28.1,2877.921875
25.7,2877.921875
26.0,2881.43359375
27.3,2881.43359375
28.2,2881.43359375
29.1,2881.5234375
28.5,2881.5546875
28.2,2881.43359375
28.5,2881.43359375
28.5,2881.421875
27.7,2881.421875
27.6,2881.421875
28.7,2881.54296875
27.8,2881.54296875
28.3,2881.57421875
29.5,2881.52734375
25.6,2878.66796875
25.3,2878.66796875
26.3,2881.65234375
28.1,2881.578125
28.0,2881.578125
28.0,2881.578125
28.8,2881.578125
28.6,2881.69921875
27.0,2881.69140625
28.2,2881.69140625
28.4,2881.69140625
28.4,2881.69140625
28.7,2881.72265625
29.0,2881.69140625
27.4,2881.69140625
25.9,2879.02734375
25.6,2878.90625
25.5,2881.328125
27.6,2881.20703125
29.5,2881.23828125
27.4,2881.23828125
28.6,2881.359375
28.8,2881.359375
28.5,2881.3515625
28.5,2881.3515625
29.0,2881.3515625
29.9,2881.3515625
29.0,2881.3203125
28.9,2881.3671875
28.5,2881.3671875
27.6,2878.671875
25.2,2878.671875
24.9,2878.671875
