Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-18 15:21:30,1983,3964,4,97,0,1,25.5,0
2025-06-18 15:21:31,1999,3964,1,100,1,0,25.5,0
2025-06-18 15:21:32,2012,3964,13,89,1,0,25.75,0
2025-06-18 15:21:33,2027,3964,1,100,1,0,25.5,0
2025-06-18 15:21:34,2040,3964,1,100,1,0,25.5,0
2025-06-18 15:21:35,2055,3964,1,100,0,1,25.5,0
2025-06-18 15:21:36,2070,3964,15,86,1,0,25.5,0
2025-06-18 15:21:37,2084,3964,100,1,1,0,25.5,0
2025-06-18 15:21:38,2099,3964,100,4,2,0,26.5,0
2025-06-18 15:21:39,2288,3964,100,1,0,1,25.5,0
2025-06-18 15:21:40,2341,3964,100,7,0,0,26.75,0
2025-06-18 15:21:41,2369,3964,100,0,1,1,25.5,0
2025-06-18 15:21:42,2337,3964,100,0,0,0,25.0,0
2025-06-18 15:21:43,2387,3964,23,0,1,75,24.75,0
2025-06-18 15:21:44,2387,3964,4,2,4,2,3.0,0
2025-06-18 15:21:45,2387,3964,2,2,4,2,2.5,0
2025-06-18 15:21:46,2387,3964,6,0,4,1,2.75,0
2025-06-18 15:21:47,2387,3964,4,2,5,1,3.0,11
2025-06-18 15:21:48,2411,3964,3,1,4,9,4.25,0
2025-06-18 15:21:49,2597,3964,21,17,19,97,38.5,0
2025-06-18 15:21:50,2658,3964,37,77,38,42,48.5,0
2025-06-18 15:21:51,2771,3964,68,30,60,40,49.5,0
2025-06-18 15:21:52,2861,3964,81,66,78,60,71.25,0
2025-06-18 15:21:53,2908,3964,16,85,6,11,29.5,5
2025-06-18 15:21:54,2926,3964,24,80,3,1,27.0,0
2025-06-18 15:21:55,2818,3964,61,96,58,63,69.5,0
2025-06-18 15:21:56,2818,3964,100,100,100,100,100.0,0
2025-06-18 15:21:58,2818,3964,100,100,100,100,100.0,0
2025-06-18 15:21:59,2818,3964,100,100,100,100,100.0,0
2025-06-18 15:22:00,2820,3964,100,100,100,100,100.0,20
2025-06-18 15:22:01,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:02,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:03,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:04,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:05,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:06,2821,3964,100,100,100,100,100.0,20
2025-06-18 15:22:07,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:09,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:10,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:11,2821,3964,100,100,100,100,100.0,0
2025-06-18 15:22:12,2714,3964,100,100,100,100,100.0,0
2025-06-18 15:22:13,2788,3964,98,37,100,86,80.25,25
2025-06-18 15:22:14,2801,3964,22,85,57,100,66.0,0
2025-06-18 15:22:15,2811,3964,93,100,85,37,78.75,98
2025-06-18 15:22:16,2728,3964,44,99,100,14,64.25,0
2025-06-18 15:22:17,2714,3964,96,100,100,100,99.0,0
2025-06-18 15:22:18,2714,3964,100,100,100,100,100.0,0
2025-06-18 15:22:19,2714,3964,100,100,100,100,100.0,93
2025-06-18 15:22:20,2714,3964,100,100,100,100,100.0,0
2025-06-18 15:22:21,2714,3964,100,100,100,100,100.0,85
2025-06-18 15:22:22,2714,3964,100,100,100,100,100.0,0
