cpu_percent,ram_used_mb,power consumption
0.0,1972.49609375,0
6.1,1972.859375,0
9.8,1973.1015625,0
9.2,1972.98046875,0
7.8,1972.98046875,0
10.8,1972.98046875,0
80.8,2024.64453125,0
79.5,2024.88671875,0
80.4,2024.765625,0
80.2,2024.40234375,0
80.0,2024.40234375,0
80.0,2024.40234375,0
80.8,2024.5234375,0
81.8,2024.63671875,0
80.6,2024.66796875,0
81.0,2024.87890625,0
81.2,2024.7578125,0
80.4,2024.7578125,0
80.0,2024.87890625,0
81.7,2024.7578125,0
80.3,2024.515625,0
81.4,2024.39453125,0
80.9,2024.515625,0
81.0,2024.515625,0
79.6,2024.515625,0
80.2,2024.63671875,0
81.5,2024.515625,0
80.5,2024.63671875,0
80.8,2024.5078125,0
80.7,2024.5078125,0
78.1,2024.65625,0
80.3,2024.77734375,0
79.8,2024.74609375,0
80.5,2024.74609375,0
80.7,2024.74609375,0
80.8,2024.3828125,0
80.4,2024.4140625,0
80.0,2024.4140625,0
81.3,2024.26171875,0
79.4,2024.50390625,0
81.2,2024.5,0
80.8,2024.62109375,0
81.0,2024.8515625,0
80.5,2024.97265625,0
81.0,2024.73046875,0
79.4,2024.73046875,0
81.2,2024.73046875,0
80.5,2024.73046875,0
80.7,2024.73046875,0
80.2,2024.609375,0
81.4,2024.73046875,0
80.7,2024.7421875,0
79.4,2025.2265625,0
80.5,2025.2265625,0
81.2,2025.34765625,0
80.3,2025.2265625,0
81.2,2025.2265625,0
81.2,2025.2265625,0
80.0,2025.2265625,0
80.6,2025.37890625,0
81.0,2025.37890625,0
82.8,2025.34765625,0
84.3,2025.34765625,0
80.8,2025.34765625,0
80.8,2025.34765625,0
81.2,2025.2265625,0
81.0,2025.46875,0
80.4,2025.2265625,0
80.2,2025.2265625,0
81.4,2025.10546875,0
80.9,2025.34765625,0
79.6,2025.34375,0
82.2,2025.22265625,0
79.8,2025.22265625,0
79.6,2025.22265625,0
81.3,2025.34375,0
80.3,2025.34375,0
80.1,2025.3359375,0
81.3,2025.3671875,0
79.4,2025.24609375,0
80.8,2025.21484375,0
79.4,2025.21484375,0
81.4,2025.21484375,0
79.8,2025.3359375,0
81.1,2025.3359375,0
80.7,2025.45703125,0
82.1,2025.45703125,0
80.9,2025.21484375,0
81.0,2025.3359375,0
80.9,2025.21484375,0
79.9,2025.45703125,0
80.5,2025.3359375,0
81.7,2025.3359375,0
81.3,2025.3359375,0
80.5,2025.578125,0
79.9,2025.45703125,0
79.4,2025.3359375,0
81.3,2025.3359375,0
81.2,2025.3359375,0
81.6,2025.3359375,0
80.4,2025.21484375,0
79.5,2025.3359375,0
81.3,2025.3359375,0
80.6,2025.546875,0
80.2,2025.42578125,0
79.6,2025.546875,0
81.6,2025.546875,0
79.6,2025.546875,0
81.4,2025.546875,0
80.7,2025.5390625,0
81.6,2025.41796875,0
80.5,2025.296875,0
80.2,2025.43359375,0
79.9,2025.41796875,0
80.5,2025.41796875,0
80.9,2025.5390625,0
80.7,2025.5390625,0
80.5,2025.66015625,0
80.6,2025.5390625,0
81.9,2025.66015625,0
80.4,2025.5390625,0
82.0,2025.94921875,0
79.4,2025.90234375,0
81.4,2025.8125,0
80.3,2025.79296875,0
81.8,2025.79296875,0
81.5,2025.82421875,0
81.1,2025.703125,0
81.2,2025.69921875,0
81.8,2025.7890625,0
80.0,2025.91015625,0
81.0,2025.7890625,0
78.6,2025.7890625,0
79.4,2025.7890625,0
81.1,2025.69921875,0
80.7,2025.7890625,0
80.6,2025.8203125,0
80.9,2025.69921875,0
80.1,2025.66796875,0
81.5,2025.65234375,0
80.5,2025.65234375,0
81.1,2025.7734375,0
81.0,2025.7734375,0
82.7,2025.7734375,0
80.6,2025.65234375,0
78.9,2025.7734375,0
82.5,2025.89453125,0
81.5,2025.89453125,0
80.1,2025.7734375,0
80.6,2025.7734375,0
80.8,2025.7734375,0
80.8,2025.7734375,0
80.8,2025.89453125,0
81.8,2025.89453125,0
79.2,2025.7734375,0
81.4,2025.7734375,0
80.3,2025.89453125,0
80.9,2025.7734375,0
81.4,2025.890625,0
79.3,2025.76953125,0
80.0,2025.76953125,0
82.5,2025.6796875,0
80.5,2025.6796875,0
80.5,2025.796875,0
80.3,2025.67578125,0
82.5,2025.88671875,0
82.5,2025.796875,0
82.0,2025.91796875,0
81.0,2025.796875,0
37.8,1997.0625,0
8.1,1996.69921875,0
7.3,1996.91015625,0
10.4,1997.046875,0
7.7,1996.91015625,0
